# 万家基金乔良路演
# detected_language=zh probability=1.000
# duration_seconds=3340.1

[000013.0-000023.0] 非常感谢各位领导百忙之中来参加我们这边的这么一个路演。
[002780.6-002781.5] 其实一直存在
[002781.5-002782.1] 是吧
[002782.1-002784.0] 就是大盘小盘成了价值之间
[002784.0-002785.9] 一直长期轮动
[002785.9-002787.4] 那么下面的话
[002787.4-002788.7] 就说我们是希望就说
[002788.7-002791.9] 能够找到一个这种
[002791.9-002793.0] 这个情况就是说
[002793.0-002794.7] 这个我们就发现
[002794.7-002796.3] 说市场上其实整体来讲
[002796.3-002800.3] 主要其实就就除了这个大盘
[002800.3-002801.4] 或者上的宗旨也好
[002801.4-002802.3] 或者是或者三百也好
[002802.3-002805.4] 除了这个大盘通常所说的全市场大盘之外
[002805.4-002807.5] 其实有三种主要的风格
[002807.5-002809.4] 就是就是最后提炼下来
[002809.4-002810.7] 就虽然说看起来
[002810.7-002811.9] 赛道啊什么的有很多
[002811.9-002815.0] 他那个我们这边其实是更广泛的一个风格
[002815.0-002817.2] 就是什么意思呢
[002817.2-002820.4] 就是大家可以理解为就是说
[002820.4-002821.9] 呃
[002821.9-002823.6] 那样的话大盘成长
[002823.6-002826.0] 然后呢这种稳健防守
[002826.0-002826.9] 第三类是什么
[002826.9-002829.5] 第三类的话就是属于这个小盘
[002829.5-002830.3] 对吧
[002830.3-002831.8] 那么这三种风格呢
[002831.8-002833.8] 其实一直是属于轮动性的
[002833.8-002834.6] 我举个例子
[002834.6-002841.3] 比如说从17年到现在,17年1920,2526,大阪成长和民间转悠
[002841.3-002843.2] 刚才大阪成长上在弱一点的时候
[002843.2-002848.4] 比如说像21年的9月份之后,249月份之前
[002848.4-002851.2] 其实红利整体表现比较好
[002851.2-002853.0] 或者防露性的
[002853.0-002856.5] 然后小盘也是在21年以来比较好
[002856.5-002859.3] 但是我们这个里面因为小盘整体的风险
[002859.3-002860.8] 24年1月份之后呈现出来
[002860.8-002862.9] 他这个风险完全怎么说呢
[002862.9-002865.8] 就是作为一个偏绝的手机的设计来讲
[002865.8-002866.9] 可能风险很难控
[002866.9-002867.6] 对吧
[002867.6-002870.6] 所以我们就找了一个小法律的替代
[002870.6-002873.2] 想要一个客战来做这个
[002873.2-002877.8] 那么这三种类型的风格其实是长跌互线的
[002877.8-002879.2] 那么我们就在想一个问题啊
[002879.2-002880.8] 就说我们的目标是什么
[002880.8-002881.8] 我给大家也会保证
[002881.8-002883.2] 就我们的目标我们一直在想
[002883.2-002885.6] 能不能做一个股票停期金
[002885.6-002889.6] 或者说股票仓位比较高的这种类型的一个基金产品
[002889.6-002894.9] 同时能够实现一个类绝对收益的这么一个导向
[002894.9-002895.5] 什么意思呢
[002895.5-002898.7] 就是在市场比较好的时候
[002898.7-002899.9] 或者是偏牛市的时候
[002899.9-002900.9] 他能够跟得上
[002900.9-002902.6] 就说不说跑到市场的前面
[002902.6-002905.0] 至少能够跑到这个中不流的水平
[002905.0-002908.4] 同时在熊市中或者市场偏弱的时候
[002908.4-002910.6] 他的这个也能不费钱
[002910.6-002911.4] 或者少费钱
[002911.4-002916.1] 也就是说我们希望真的是做到一个绝对收益为导向的一个产品
[002916.1-002917.2] 那这个产品呢
[002917.2-002917.7] 就是说有很多
[002917.7-002919.2] 当然有很多种做法
[002919.2-002924.0] 但是呢,我们希望还是说占一个股票或者权益的方向的去做
[002924.0-002926.3] 那最后想来想去做过或者说我们引人想来
[002926.3-002929.2] 最后其实我们发现就是有一个折扣条路
[002929.2-002934.8] 就是我们把不同的风格的这种权益的这么一个策略揉合到一块
[002934.8-002935.5] 对吧
[002935.5-002937.6] 就是最后我们就选刚才讲的这三种
[002937.6-002939.6] 一个是万德分货货
[002939.6-002940.6] 一个是红利
[002940.6-002942.8] 再一个是科兰站
[002942.8-002945.8] 他们长期从他们底层的beta来讲
[002945.8-002947.6] 基本上长期是一个互相关的关系
[002947.6-002948.6] 或者互相关
[002948.6-002951.6] 所以我们最后怎么做呢
[002951.6-002953.2] 就是我们最后的这个策略就是说
[002953.2-002958.0] 我们会做了这么一个均衡史书的这么一个策略
[002958.0-002959.4] 就是简单来讲
[002959.4-002963.0] 就是说我们希望这实际最后是三个策略拼起来
[002963.0-002966.3] 但是一个策略就是我们做这个偏稳都讲
[002966.3-002971.3] 其实就是我刚刚跟大家讲的比较像类似一般我们要正常的做法
[002971.3-002975.8] 第二个就是作为一个互补的就是这种红利类的这么一个策略
[002975.8-002977.8] 但是我们实际做的过程中
[002977.8-002980.0] 我们其实并没有直接作为红利增强
[002980.0-002983.1] 我们主要是把红利把自由天津旅游
[002983.1-002984.8] 还有PPRO1这三类
[002984.8-002986.7] 就是同样是防守级
[002986.7-002988.9] 或者是防守策略类型的
[002988.9-002989.9] 这种类型的策略
[002989.9-002991.9] 把它相当于是说
[002991.9-002996.3] 混搁起来或者是平均做一个配置
[002996.3-002998.3] 形成我们的所谓的红利电话
[002998.3-002999.8] 第三类就是我刚才讲的
[002999.8-003002.1] 我们没有直接用比如说
[003002.1-003004.3] 什么小谈量化或者是微盘股
[003004.3-003005.4] 小微盘策略来做
[003005.4-003006.8] 我们选择客战站
[003006.8-003011.8] 目的在哪,就是为了使他的整体的回彻和隔空
[003011.8-003019.5] 因为的确,他来回顾一下当小凡出现这种极端的这么一个风格,这么一个回彻的时候
[003019.5-003023.9] 比如说想2014年1月,2014年1月之后,其实是和这部都是极其惊人的
[003025.9-003027.1] 大概是这么一个情况
[003027.1-003030.2] 然后呢,所以最终的策略就是这样
[003030.2-003036.5] 就是我们就是电话成长加上红利电话登场,再加上核战盖,把它合到一块
[003036.5-003040.0] 而且我们整体的产品的比应保持相对比较稳定
[003040.0-003042.9] 也没有做什么风险评价
[003042.9-003045.4] 或者是做什么风格轮动这种东西
[003045.4-003047.3] 那么考虑主要在哪
[003047.3-003049.9] 考虑主要考量主要是在于说
[003049.9-003055.0] 我们还是希望回彻比较可控
[003055.0-003058.5] 因为任何的风格轮动的策略
[003058.5-003061.1] 它的本质或者说长期有交的风格轮动
[003061.1-003063.3] 本质上其实还是基于东亚
[003063.3-003065.8] 就是你会发现比如说就举例子
[003065.8-003069.6] 大家都听说过cta,就是commodity穿
[003069.6-003073.5] 大概cta的本质其实就是趋势跟踪
[003073.5-003075.8] 都是这样动作来做的,我发现
[003075.8-003082.4] 很少大家出过这个,除了在短期各个层面上面,基本上大家很少在资产配置上做反转
[003082.4-003086.5] 除了主观之外,原因在那,所以反转的胜利实在太低
[003086.5-003089.6] 就是反而来说趋势的胜利会更高
[003089.6-003091.1] 所以呢
[003091.1-003093.9] 對我們來講的話,我們覺得信仰比一共重要
[003093.9-003096.8] 所以我們就沒有,你如果任何的一個風貢人動
[003096.8-003100.8] 其實本質上就是,比如說今年上半年就做做成長
[003100.8-003104.4] 收益看起來更高,但是7月份的回復比較難控
[003104.4-003109.7] 所以我們還是希望做一個這種收益信仰比一共高的產品
[003109.7-003115.6] 那麼底層三個策略,量化成長就跟我們之前做的8萬514吧
[003115.6-003126.1] 然后第二个呢,就是红利主义的话,我就跟大家讲过的,就是三分之一的,就是这个红利加三分之一的最新拥有的加三分之一的这个PL1。
[003126.1-003141.0] 当然我们这边说的红利啊,它不是传统意义上,就是我做了一个专政红利增强,对吧,跟红利增强其实本质上它的收益其实很难做上去,就是说它怎么说呢,就是红利增强你的这个如果说,
[003141.0-003143.2] 就像我们万家做的这种红利增强
[003143.2-003146.5] 本质上我们其实是一般如果是做主动墙
[003146.5-003147.4] 我们都是非常中性
[003147.4-003148.8] 就是行业风格都会中性
[003148.8-003151.5] 但如果说你跟红利行业风格中性之后
[003151.5-003152.8] 你觉得手艺就基本上不去
[003152.8-003155.1] 因为红利的行业非常甜
[003155.1-003155.7] 对吧
[003155.7-003159.4] 长期来讲就是煤炭 化工 钢铁
[003159.4-003161.2] 这种能够占比非常高
[003161.2-003161.5] 对吧
[003161.5-003162.4] 大家也都知道
[003162.4-003164.2] 这个你如果这种占比很高的话
[003164.2-003166.0] 你长期的手艺不可能很强
[003166.0-003166.3] 对吧
[003166.3-003167.4] 只是它的优势在于
[003167.4-003169.1] 如果可能到别人都不行的时候
[003169.1-003170.1] 它会少跌掉
[003170.1-003171.1] 或者是不底
[003171.1-003172.1] 对吧
[003172.1-003173.1] 那么
[003173.1-003176.1] 所以我们的做法就是我们基于股息率
[003176.1-003178.1] 因为红利本身只是股息率的一个选股盘
[003178.1-003180.1] 我们就基于股息率先删一股票池
[003180.1-003182.1] 然后用我们量化多因子的选股
[003182.1-003184.1] 这就是红利的这么一个做法
[003184.1-003185.1] 然后同样的道理
[003185.1-003187.1] 自由先进流因子
[003187.1-003189.1] 删一个股票池
[003189.1-003190.1] 再选股
[003190.1-003191.1] 对吧
[003191.1-003192.1] 然后批评老演那些做法
[003192.1-003193.1] 那么这么做下来
[003193.1-003195.1] 就是得到了一个组合
[003195.1-003196.1] 就是红合照的组合
[003196.1-003198.1] 它的稳定性很好
[003198.1-003205.9] 基本上,年华收益大概能有20个点出头,但是呢,它的比红利全收益收益其实会更高十个年左右
[003205.9-003210.3] 而且呢,它的回彻,就是绝对收益的回彻其实比工厂更小
[003210.3-003213.7] 红利最大回彻大概是25年,在2018年的时候
[003213.7-003218.8] 对吧,那么我们这个组合最大回彻大概就是在20个点出头,比它还小,稍微小一点
[003218.8-003224.7] 最后呢,就是口软辆辆化,这块呢主要还是基于这个量价策类为主
[003224.7-003228.1] 当然也参展了一些其他的一些经典 比如说双避
[003228.1-003232.3] 那么为什么作为可软债放进去的 这个核心还是希望就说
[003232.3-003237.5] 第一个来讲 同资反端 可软债跟量化跟股票虽然有一定的相关性
[003237.5-003242.3] 但是它的这个特别是在这个涨跌的这个同步性上其实差别很大
[003242.3-003245.8] 因为一个方面就是交易可软债的这些人 跟交易股票的
[003245.8-003249.6] 特别是成长和红利的 其实是本身就不是同一个人
[003249.6-003254.0] 第二个来讲的话,就是说我们在做这个关键谈话的时候,
[003254.0-003259.0] 形容量价就是这种高费量价和整体量价的含量会更高一些,
[003259.0-003262.3] 所以它的风景收益特征其实跟小房的量价比较像,
[003262.3-003266.8] 但是它的回射会远远小于一个小房股票量化产业,
[003266.8-003269.2] 所以这就是三个合道一起,
[003269.2-003274.1] 最后的一个整体的一个回色表现,
[003274.1-003277.2] 最初出来的一个点就是大概年华能有二十多个点,
[003277.2-003280.2] 最大回測大概只能在二十点以内
[003280.2-003283.8] 那么我们移达是从24年9月份大概做这个策略
[003283.8-003284.8] 然后呢
[003284.8-003286.1] 25年44个点
[003286.1-003287.7] 今年是20
[003287.7-003289.1] 这招牌也比较26点
[003289.1-003290.3] 然后最大回
[003290.3-003292.1] 从9月1号到24年9月
[003292.1-003293.8] 有到现在差不多两年吧
[003293.8-003296.1] 大概有118的一个绝对收益
[003296.1-003298.5] 然后最大回測大概就十几个点
[003298.5-003299.0] 对
[003299.0-003300.5] 然后
[003300.5-003300.8] 对
[003300.8-003302.3] 就是这么一个情况吧
[003302.3-003305.9] 然后最后我在花脸时间给大家讲讲我们的这个
[003305.9-003311.0] 呃,指数中强的一个策略
[003311.0-003315.7] 对,呃,指数中强的相对来说可能更简单一点
[003315.7-003319.2] 对吧,这个,因为现在市场上这种阵营的产品也非常多
[003319.2-003322.5] 那我给大家主要讲几个点吧,就一个是公募的
[003322.5-003326.5] 呃,指数中强的相对来说它的风格其实是会
[003326.5-003330.7] 呃,相对似不来讲啊,会活活更稳健,对吧
[003330.7-003335.0] 那么整个,呃,我们的这个方法论之前给大家讲过了,就是
[003335.0-003339.8] 奧法模型,大概有七件都因子,然后在模型模型之后组合优化
