# 民生加银刘浩交流
# detected_language=zh probability=1.000
# duration_seconds=3806.7

[002931.3-002934.2] 做了一个PCF的价值
[002934.2-002935.7] 所以就是就是
[002935.7-002937.4] 如果说一个票
[002937.4-002940.9] 他我想是他的股息永远都是持续下去
[002940.9-002942.6] 那只要股息能有六七个点
[002942.6-002944.4] 那这个票仍然能改改
[002944.4-002948.5] 但是很多公司它的主席要么是比如贵温加达
[002948.5-002951.7] 很多那个时候那个时候的人为什么不觉得加达
[002951.7-002954.7] 23%的主席价格可以买的
[002954.7-002957.4] 因为他们觉得银行的盈利高高点了
[002957.4-002960.5] 他们觉得这个银行要进入价息周期了
[002960.5-002963.7] 他们海外的这个息差要缩载了
[002963.7-002965.7] 所以他不怕好
[002965.7-002968.9] 他这个购户是不虚的
[002968.9-002973.2] 所以经常来看就是毅力不是特别大
[002973.2-002974.5] 你要重来的事情
[002974.5-002979.2] 你要拉长这一期在你用的这个生意模式的前提之下
[002979.2-002984.0] 去把每一个期去算一个你的这个地位的
[002984.0-002990.2] 把地位的你算上那个这个责线之后加起来
[002990.2-002994.1] 但实际上我往往你最后收一笔高层
[002994.1-002997.7] 你还有固执的波动吗
[002997.7-003004.9] 对,是,但我其实在我投资的体系里面
[003004.9-003008.1] 一般来说,这个估值波动的钱
[003008.1-003010.5] 赚的不会特别多
[003010.5-003014.5] 最重要的还是挑真的足够好的资产
[003014.5-003017.5] 因为对于我们这种深度价值的人来说
[003017.5-003019.7] 当估值到合理位置的时候
[003019.7-003021.9] 其实就会卖掉很大的部分
[003021.9-003025.5] 你真正吃到估值一场高的那块
[003025.5-003027.3] 时间是不长的
[003027.3-003028.9] 而且比例也是不高的
[003028.9-003031.3] 而且如果说你换一种思维
[003031.3-003032.8] 你作为生意价值人
[003032.8-003034.1] 你就想知道
[003034.1-003037.7] 物质从正常拉到异产高的这一段
[003037.7-003040.1] 你其实就丧失了你的初心了
[003040.1-003042.2] 你很可能
[003042.2-003044.8] 你就会导致你更多的亏损
[003044.8-003048.9] 因为这个时间段可能是一个月
[003048.9-003050.4] 你可能是三四年的时间
[003050.4-003052.2] 就在这个时候正大
[003052.2-003055.0] 而且你只是从第一步到合理物质
[003055.0-003056.2] 这个时间
[003056.2-003058.8] 對,占自己能力權的限制
[003058.8-003064.6] 那有可能就是你雖然沒有那個上限的估值沒有值
[003064.6-003069.1] 但是可能活動的時候,現下的時候可能會比較大
[003069.1-003069.6] 對
[003069.6-003072.9] 就算下來比如說你這個年華7到8
[003072.9-003076.6] 但是回復或者活動力會有一個大
[003076.6-003080.4] 其實我的票很多都是恰恰超而受益很多
[003080.4-003083.2] 是來自我喜歡大跌
[003083.2-003085.1] 喜歡一個票有一個大跌
[003085.1-003088.8] 因为就是生助价值的投资者很多时候是
[003089.2-003092.6] 就是如果这个票当下跌50%
[003092.6-003093.6] 你敢不敢加仓
[003093.6-003096.6] 就如果不愿意加仓或者不敢加仓
[003096.6-003099.6] 那你就不是一个真正的生助价值的投资者
[003099.6-003101.1] 那就一分钟就不要了
[003101.1-003102.7] 对那就一分钟就不要了
[003102.7-003104.1] 景区的投资不是这样的
[003104.1-003105.1] 因为景区投资
[003105.1-003107.6] 它可能跌50%之后整个核心都变了
[003107.6-003108.3] 我就坏了
[003108.3-003110.1] 对就不一样了
[003110.1-003112.1] 就生助价值的东西
[003112.1-003113.6] 它那个背后的东西
[003113.6-003117.1] 也是大概率是不便,是给定
[003117.1-003118.5] 那我接着拦着这个问题
[003118.5-003120.3] 就是深度下的这些股票
[003120.3-003121.2] 就是他们
[003121.2-003122.3] 我可能问题比较白痴
[003122.3-003126.7] 就是他们这个定价的编辑基金都是谁
[003126.7-003128.6] 就是保险还是社保还是谁
[003128.6-003130.2] 就是因为它其实
[003130.2-003130.9] 因为其实这些东西
[003130.9-003132.5] 其实大家都会去研究嘛
[003132.5-003133.7] 对于这些股票
[003133.7-003135.6] 因为它可能长期是一个比较稳定
[003135.6-003137.6] 谁去编辑定价这个
[003137.6-003138.6] 对
[003138.6-003141.6] 所以你这个问题确实是很关键的一个问题
[003141.6-003142.3] 对
[003142.3-003144.9] 因为有的时候深度价值的就是一直不涨
[003144.9-003146.2] 对对是
[003146.2-003147.2] 不然就爆炸
[003147.4-003148.2] 说实话
[003148.7-003149.2] 这个
[003149.5-003151.5] 说实话我也很好奇
[003151.8-003153.3] 谁是连续定价的
[003153.6-003155.6] 就是市场复杂的地方就是在这里
[003156.1-003157.4] 就不知道到底
[003157.7-003160.5] 什么时候这个发生的资产他一定能爆炸
[003160.8-003162.5] 如果我知道的话我肯定是
[003162.8-003163.8] 只在他爆炸的时候买
[003163.8-003165.3] 跟他爆跌的时候我就不买
[003165.6-003167.9] 想搞清楚的
[003167.9-003171.0] 那些深度价值的那个投资人是谁呢
[003171.0-003174.2] 現在主觀深度的經濟流量越來越少
[003174.2-003175.0] 基本沒有
[003175.0-003175.6] 基本沒有
[003175.6-003177.8] 那有什麼量化
[003177.8-003180.0] 有這種設計的叫做
[003180.0-003183.4] 在揉搓又漂那些量化機器
[003183.4-003185.2] 其實量化有去發掘
[003185.2-003188.4] 比如說價值紅利的質量
[003188.4-003191.0] 然後景氣的就可能比較難
[003191.0-003194.4] 因為它主觀的如果你往一方向七寫的話
[003194.4-003196.0] 銳足又很高嘛
[003196.0-003199.0] 但是就是浩龍說的這個
[003199.0-003203.6] 过去有一个比较 比较怎么说呢
[003203.6-003205.3] 比较算得出来的这个模型
[003205.3-003206.9] 你算都算得出来
[003206.9-003209.0] 那电话是不是也能算出来吗
[003210.3-003214.5] 其实这里我觉得就是就是坦率的说
[003214.5-003217.9] 就刚你提到就是通常会去看历史的中书嘛
[003217.9-003219.6] 那电话不是特别最擅长的
[003219.6-003221.0] 就是总学这些规律嘛
[003221.0-003223.5] 但是有一点就很难判断的
[003223.5-003227.7] 就是你真正的对这个行业生意模式的判断
[003227.7-003232.5] 就有的时候是很难量化到这个体系里面去的
[003232.5-003235.9] 量化能赚的钱它是对历史的一种模拟
[003235.9-003239.9] 然后对模拟里面提取出来一些东西
[003239.9-003242.7] 这个东西在未来做一个预测
[003242.7-003243.9] 这个是可以的
[003243.9-003247.7] 而且这个能好在比主动基金好在一个地方
[003247.7-003250.1] 主动基金你往往大部分时候
[003250.1-003254.5] 他们想卖的时候就是这个股票真正值得买的时候
[003254.5-003257.5] 人性它都是反的来的
[003257.5-003260.8] 它都是真的很难判断的一个事情
[003260.8-003264.1] 但这个时候量化就能很好的规避这样一些损失
[003264.1-003266.5] 我觉得量化真正好的地方在这里
[003266.5-003270.1] 但是量化我至今没有看到
[003270.1-003273.5] 它能完全替代一个人对未来生意的故事
[003273.5-003280.5] 未来世界存在方式的一个认知的体现
[003280.5-003285.7] 我觉得主动经营经理到最后赚的就是认知的钱
[003285.7-003290.7] 这个认知就是对世界、对生命模式的认知
[003290.7-003292.1] 这个是练画
[003293.1-003295.3] 我觉得很难练画
[003295.3-003296.7] 就是如果能练画
[003296.7-003298.3] 我肯定去买那个练画财品
[003299.3-003303.7] 所以就说刚才说的这个不值便宜这件事情
[003303.7-003306.7] 它并不是因为相对历史中书是怎么样的
[003306.7-003312.7] 还是要对未来的前瞻对这个声音过去可持续不可持续
[003312.7-003316.7] 那就是未来的事情其实更多的
[003316.7-003317.7] 对 是的
[003317.7-003320.7] 所以他们调划做的可能就是
[003320.7-003324.7] 比如说对就做一个红利低波
[003324.7-003332.3] 或者是基于历史数据做的一个策略
[003332.3-003335.3] 有可能 就是我了解的
[003335.3-003337.3] 我瞭解的也不多
[003337.3-003340.3] 我看他们那样的话基本上就是
[003340.3-003345.3] 就是一个低波指数
[003345.3-003347.3] 要不就先呼吸力排序
[003347.3-003349.3] 然后再波动力排序
[003349.3-003351.3] 跟着呼吸力低波嘛
[003351.3-003355.3] 然后现在再那个的话就加一些质量因子
[003355.3-003357.3] 对 应该是
[003357.3-003361.3] 但是依然还主要是对过去的数据的总结
[003361.3-003364.3] 对
[003364.3-003366.6] 就是刚才小白的那个问题
[003366.6-003369.8] 就说当一个股票你买入之后
[003369.8-003371.9] 很久都没有没有反应的话
[003371.9-003372.9] 一年怎么办
[003373.6-003375.5] 就是像一开始说的
[003375.5-003377.2] 就持续的去做迭代
[003377.2-003378.9] 持续的去做反思
[003378.9-003379.7] 就是试图
[003379.7-003380.9] 你可能会等很久
[003382.0-003382.6] 很久
[003382.6-003384.0] 你最久的票等了多久
[003384.0-003385.3] 就是股价不反应
[003386.7-003387.8] 我想想啊
[003387.8-003388.4] 最久的票
[003388.4-003390.7] 因为你如果是做投资以来
[003391.6-003393.0] 做投资以来的时间
[003393.0-003394.1] 一年多
[003394.1-003395.5] 对 也没有太长
[003395.5-003397.4] 如果是做鸡猪以来
[003397.4-003401.8] 最久的票
[003401.8-003405.7] 最久的票等到现在都没有反应的 也有啊
[003405.7-003407.2] 哈哈哈哈
[003407.2-003409.1] 那没有啊 也有啊
[003409.1-003410.1] 像那个
[003410.1-003412.4] 富为股份就等到现在还没有反应
[003412.4-003414.7] 还在持仓你吗 还在持仓
[003414.7-003415.8] 富为
[003415.8-003416.7] 就是保护你
[003416.7-003417.9] 哦 富为
[003417.9-003419.8] 但是其实你不见得能死
[003419.8-003421.7] 现在市值是50多亿
[003421.7-003423.7] 它上台有50亿的现金
[003423.7-003426.5] 每年4到5亿的
[003426.5-003427.6] 就现金流
[003427.6-003429.8] 然后风险的话大概是70
[003429.8-003433.1] 然后他之所以越来越点是因为
[003433.1-003434.7] 一个是汽车这个行业
[003434.7-003437.1] 大家越来越不愿意去看了
[003437.1-003439.7] 然后第二个是就是
[003439.7-003442.5] 他属于汽车里面相对边缘的标地
[003442.5-003443.7] 交易量比较低
[003443.7-003448.3] 然后也跟各种概念带不到边
[003448.3-003451.6] 所以说在今年这种行情之下
[003451.6-003453.8] 中小市值的标地
[003453.8-003458.7] 射的几书比较大
[003458.7-003460.7] 然后这种关注度比较低的比较几书
[003460.7-003461.8] 几书又比较淡
[003461.8-003463.2] 然后行业差的比较低
[003463.2-003464.2] 几书比较大
[003464.2-003466.8] 所以它就各种流动性的原因
[003466.8-003469.1] 装置它一直在跌
[003469.1-003470.1] 但是基本面
[003470.1-003471.8] 你基本是看汽车的是吧
[003471.8-003474.1] 交运汽车电力设备
[003474.1-003476.8] 就是整车你觉得这个声音不俗
[003476.8-003477.8] 其实不好
[003477.8-003481.4] 那汽车这个产链链里面有哪个环节
[003481.4-003482.8] 会可以的
[003483.8-003488.6] 汽车整个产业链里面最好的三个环节
[003488.6-003493.2] 就是我觉得送长期来看前海外的这个估值比较高的三个环节
[003493.2-003495.1] 长流的三个环节
[003495.1-003497.1] 一个是重卡
[003497.1-003500.7] 重卡重卡产业链其实都是有长流的
[003500.7-003502.7] 像帕卡这些标地
[003502.7-003509.1] 还有就是康尼斯也是重卡链的
[003509.1-003513.2] 然后第二个有长牛逻辑的
[003513.2-003517.2] 其实摩托车两轮车是有长牛逻辑的
[003517.2-003521.7] 海外的摩托车两轮车加那个炖田
[003521.7-003524.2] 它的摩托车部门它是长牛的
[003524.2-003526.4] 它是所谓的消费品逻辑
[003526.4-003531.1] 然后第三个生意模式相对比较好的
[003531.1-003534.7] 其实我愿意给到像抚药这种标记
[003534.7-003539.7] 不要這種標記是他的成本優勢實在太明顯
[003539.7-003545.7] 然後同時這個行業他的競爭對手他都不行都在退出
[003545.7-003551.7] 同時這個行業又是一個相對沒有那麼就是受人關注
[003551.7-003553.7] 像電視一樣受人關注的這種制裁
[003553.7-003555.7] 所以我覺得他是一個可以
[003555.7-003557.7] 但是這個價值量沒那麼高
[003557.7-003559.7] 價值量沒有那麼高
[003559.7-003561.7] 然後除了不要這種行業
[003561.7-003565.8] 行业玻璃的话也还有轮胎也是典型的好啊
[003565.8-003567.0] 也设定的是好啊
[003568.2-003570.7] 就是你给我轮胎品牌做出来之后
[003570.7-003572.6] 你很难想象有什么方式可以把
[003573.2-003574.7] 可以做一个新的品牌寄来
[003575.4-003576.8] 那年兴很强
[003576.8-003577.7] 非常强
[003577.7-003578.8] 是一个安全
[003578.8-003580.0] 大家都很认识
[003580.0-003583.4] 不要好多价值经纪的品牌
[003584.2-003586.4] 不要的话今年比较逆分
[003586.4-003589.0] 原因就是在成本端今年纯减
[003589.0-003602.0] 对 然后就是而且不要在这个海运费用费各种方面的压力都比较压力的压力也比较大
[003602.0-003607.0] 所以今年是比较匿分成本的比较匿分的
[003607.0-003610.0] 所以估值也一路在边
[003610.0-003616.0] 但是我看基因下车行经历也一路都在加 像那个流去也加了好多
[003616.0-003623.2] 就是像这种你觉得汽车里面长没有的机型环节
[003623.2-003627.2] 那就等他从定价的时候去把他什么
[003627.2-003628.0] 对
[003629.0-003633.2] 不要就是一个可能到气球点的一个东西
[003633.2-003634.2] 对
[003634.2-003636.0] 不要我买的一些
[003636.0-003639.2] 我觉得不要的事情对我来说
[003639.2-003642.4] 我是更喜欢不要相比明德
[003642.4-003646.8] 因为它的缺不让货的时间会更长
[003646.8-003649.6] 它更不处于景气再高
[003649.6-003653.1] 所以就更不容易受到周期下行的影响
[003653.1-003655.4] 技术变革也没那么多了
[003655.4-003658.6] 技术变革它都是那种见景值的见景点
[003658.6-003660.7] 反而都是那种更加见景值
[003660.7-003662.6] 当然一个也是见景值的
[003662.6-003666.4] 它不断的有全景夺理
[003666.4-003670.0] 然后多力上加一些HUD等等的这种
[003670.0-003671.2] 就是没那么多
[003671.2-003672.8] 但是持续的在这别干
[003673.8-003675.1] 那这种东西比如他长
[003675.1-003676.7] 他他首先他已经是龙头了
[003676.7-003679.0] 他就是没有就是集中就是
[003679.0-003680.1] 龙头扩张那个逻辑
[003680.1-003681.2] 他可能这么多是剩下
[003681.2-003683.3] 就是一个车的被他的好转之
[003683.3-003686.4] 他的逻辑其实还真有龙头扩张的逻辑
[003686.4-003688.2] 对台海外竞争对手
[003688.2-003690.1] 那是两个就是
[003691.7-003692.3] 续销子
[003693.2-003695.4] 日本的他持续的在搜索
[003695.4-003699.3] 然后还有那个欧洲的有一个
[003700.0-003702.6] 他也持续的在说
[003702.6-003704.6] 所以这两个对手都不行
[003704.6-003706.2] 他就出海国际这个事
[003706.2-003707.2] 对
[003707.2-003708.8] 老师他们海外的份额
[003708.8-003710.8] 用金的在这边
[003710.8-003713.3] 就不是他要扩张去干点
[003713.3-003714.9] 让自己的利用预约一点
[003714.9-003716.4] 同时受伤害
[003716.4-003717.6] 老师人家求着他
[003717.6-003723.0] 对 要这块怎么办
[003723.0-003724.3] 喝这个杯头你觉得
[003724.3-003725.5] 他好像一个氛围
[003725.5-003729.3] 他是智能做仓的供应商
[003729.3-003730.9] 说是智能供仓做仓
[003730.9-003735.9] 其实就是在给一汽集团供应那个车的内外式
[003735.9-003738.5] 它智能做差智能两个
[003738.5-003740.9] 其实不加智能也影响不大
[003740.9-003743.9] 就很传统的
[003743.9-003746.9] 大家觉得这个一汽销量又是下滑的
[003746.9-003751.9] 然后那个做内外式有没有什么性感的空间感
[003751.9-003759.3] 所以通常说那个智能就是加上智能相关的
[003759.3-003761.3] 那它的布置就不一样了
[003761.3-003763.7] 也要看市场任务任务
[003763.7-003765.4] 但这个智能就是他自己加的
[003765.4-003767.6] 我买了很多公司
[003767.6-003768.9] 他那个就算有智能
[003768.9-003769.8] 或者就算有智能
[003769.8-003770.8] 还是他自己加的
[003770.8-003772.2] 那有可能是呢
[003772.2-003773.3] 情绪比较好的时候
[003773.3-003775.7] 我就给他加下了智能的故事
[003775.7-003776.1] 对
[003776.1-003777.2] 然后就该卖了
[003777.2-003777.9] 讲一讲
[003777.9-003779.3] 好多都该卖了
[003779.3-003780.3] 就该卖了
[003780.3-003781.6] 然后他涨十倍
[003781.6-003783.2] 那我只涨十一倍的
[003783.8-003787.6] 有没有就是你那个看错的标啊
[003787.6-003789.7] 就比如说生意模式啊
[003789.7-003792.7] 或者是其他好业变化人的有一个票
[003792.7-003795.4] 很典型就是看错了
[003795.4-003799.3] 就是最典型是他的公司性质看错
[003799.3-003801.4] 公司性质的生意模式
[003801.4-003804.2] 我之前很喜欢买这类机
[003804.2-003806.3] 就是买了一罐很多钱
